record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
54963,S92000003,P,2,1,2,1,2,1,2,1,2,3,X,X,X,2
54970,S92000003,P,4,1,2,1,1,1,2,1,2,4,X,X,X,4
55071,S92000003,P,0,1,7,5,2,1,3,1,2,5,X,X,X,4
55088,S92000003,C,X,1,8,5,2,1,3,1,9,5,X,X,X,X
55093,S92000003,P,0,1,2,1,1,2,2,3,9,4,X,X,X,2
55106,S92000003,P,5,1,2,1,1,2,2,6,6,4,X,X,X,2
55111,S92000003,P,4,1,2,1,1,2,1,4,2,4,X,X,X,2
55557,S92000003,P,0,1,8,4,2,1,3,1,2,5,X,X,X,4
55688,S92000003,P,1,1,2,1,1,1,2,1,1,4,X,X,X,1
55703,S92000003,P,0,2,8,5,2,1,4,1,2,5,X,X,X,4
55814,S92000003,P,1,1,2,1,2,1,1,1,2,3,X,X,X,2
55820,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
55834,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
55943,S92000003,P,4,2,8,5,2,1,3,1,9,5,X,X,X,3
55962,S92000003,C,X,2,8,2,2,1,4,1,2,5,X,X,X,X
56049,S92000003,C,X,2,8,5,2,1,2,1,2,5,X,X,X,X
56057,S92000003,P,4,2,7,5,2,1,1,1,2,5,X,X,X,4
56184,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
56232,S92000003,P,1,2,6,2,2,1,3,1,2,5,X,X,X,4
56238,S92000003,P,2,2,2,1,2,1,1,1,2,3,X,X,X,2
56278,S92000003,P,1,2,5,2,2,1,1,1,2,3,X,X,X,4
56292,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,1
56328,S92000003,P,4,2,2,1,2,1,2,1,1,3,X,X,X,4
56338,S92000003,P,1,2,8,2,2,1,4,1,1,5,X,X,X,4
56376,S92000003,P,2,1,4,3,2,1,3,1,1,3,X,X,X,4
56718,S92000003,P,3,1,2,1,1,2,1,6,6,4,X,X,X,4
56758,S92000003,P,1,2,8,2,2,2,3,3,1,5,X,X,X,4
56803,S92000003,P,1,2,6,2,2,2,4,3,6,5,X,X,X,4
56817,S92000003,P,1,2,5,2,2,2,3,3,3,3,X,X,X,4
56969,S92000003,P,1,2,4,2,2,1,2,1,1,3,X,X,X,3
57057,S92000003,P,0,1,2,1,2,2,1,1,2,3,X,X,X,4
57094,S92000003,P,0,2,2,1,1,2,2,1,1,4,X,X,X,2
57187,S92000003,P,4,2,8,5,2,1,2,1,2,5,X,X,X,4
57261,S92000003,P,4,2,5,4,2,1,1,1,2,3,X,X,X,4
57287,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,4
57296,S92000003,P,4,2,8,5,2,2,2,1,2,5,X,X,X,4
57334,S92000003,P,0,2,8,5,2,1,1,1,2,5,X,X,X,4
57398,S92000003,P,1,2,6,2,2,1,2,1,2,5,X,X,X,4
57407,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,4
57413,S92000003,P,1,1,2,1,2,1,2,1,1,3,X,X,X,2
57473,S92000003,C,X,2,8,2,2,2,2,1,1,5,X,X,X,X
57480,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
